Topic,Count,Name,Representation,Representative_Docs
22,51,22_etait_reponse_to_apres,"['etait', 'reponse', 'to', 'apres', 'tres', 'plus belle europe', 'belle europe', 'premiere', 'plus belle', 'remboursee', 'privee', 'recu', 'clientes', 'etre', 'premiere fois']","['j ai fait une commande d un lot de chaise , la livraison est arrivee et au montage la premiere etait tordue , non conforme a ce que j attendais.depuis le 9 decembre j ai demande un bon de retour concernant ce lot et la les ennuis commencent ils veulent des photos de l article defectueux , chose que j ai faite et la pas de reponse precise.lorsque j appelle on me dit que ma demande sera traitee dans 48h et comme par enchantement on me demande une vue d ensemble des six chaises.on me fait tourner en rond et on ne veut pas reprendre cet article , je rappelle que ca date du 9 decembre et que l on est le 21.combien de temps va t on se fiche de moi , ca devient impossible.j ai envoye une demande a ufc que choisir afin de relater mon experience .', ""j ai acheté sur le site veepee un circuit portugal plus belle l europe depart en mai 2020j ai bien sur reglé un acompte et j ai eu la bonne idée il y a quelques jours d'aller sur le site plus belle l europe surprise ce to est depuis fevrier en redressement judiciaire ( peut etre allons nous etre remboursés par monsieur stephane bern qui en vantait les merites dans une pub en janvier 2020 ! ) toujours est il que ni le to plus belle l europe ni veepee ne m a informée de ce redressement judiciaire.j ai envoyé un mail à veepee , je leur ai téléphoné mais ils repondent qu ils ne sont qu intermediaires des ventes sur leur site et me conseillent de prendre contact avec le to qui bien sur est injoignable ."", 'vente privee propose des articles souvent de qualites mais les prix de base sont gonfles et ne représentent pas la realitede plus l expedition des colis est trop souvent source de tres gros problèmes plusieurs de mes colis sont restes en etat de non envoi des entrepots sans que vente privee ne previenne ou ne s excusec est a nous de surveiller , ecrire mille mails , telephoner au service client qui n est d aucune aide.auparavant ce service etait en france et repondait correctement avec efficacité de nos jours c est une plateforme a l etranger , les agents sont fort peu aimables , ne servent a rien et repetent inlassablement les memes phraseson paie le colis et 2 a 3 mois apres on n obtient aucun remboursement pour un colis non arrivé pour une societe de cette envergure c edt inadmissible et quasiment du détournement de fondsvente privee est a fuir']"
23,51,23_reçu commande_reçu colis_colis reçu_toujours reçu,"['reçu commande', 'reçu colis', 'colis reçu', 'toujours reçu', 'reçu', 'jamais reçu commande', 'reçu colis reçu', 'reçu commande reçu', 'commande toujours reçu', 'recu commande', 'toujours reçu colis', 'jamais reçu', 'commande toujours', 'commande reçu tous', 'colis reçu colis']","['je n ’ est jamais reçu ma commande .', 'je n ’ ai jamais reçu ma commande .', 'je n ai toujours pas reçu ma commande']"
24,51,24_fuyez_passez chemin_chemin_passez,"['fuyez', 'passez chemin', 'chemin', 'passez', 'laissez', 'laissez avoir', 'fuyez fuyez', 'avoir comme', 'laissez avoir comme', 'si voulez', 'conseil passez', 'conseil passez chemin', 'être déçu', 'commandez', 'conseil']","['enfin bref soyez prudents fuyez fuyez fuyez .', 'si vous ne voulez pas être déçu ... passez votre chemin site à éviter', 'un conseil : passez votre chemin !']"
25,49,25_étoile_mettre_mets étoile_mets,"['étoile', 'mettre', 'mets étoile', 'mets', 'peux mettre', 'mettre zéro', 'mettre étoile', 'étoile car', 'mérite', 'si pouvais mettre', 'pouvais mettre', 'peut mettre', 'zéro', 'si pouvais', 'car peux mettre']","['aurait du mettre zéro étoile', 'je mets une étoile .', 'je mets 1 étoile car je ne peux pas mettre moins ! !']"
26,49,26_rien dire_dire_rien_parfait rien,"['rien dire', 'dire', 'rien', 'parfait rien', 'rien redire', 'redire', 'rien dire rien', 'dire rien', 'merci rien', 'parfait', 'parfait rien dire', 'rien dire sinon', 'tout parfait rien', 'merci rien dire', 'dire sinon']","['parfait rien a dire ...', 'parfait rien a dire !', 'parfait , rien à dire']"
27,48,27_rien dire_rien redire_redire_rien,"['rien dire', 'rien redire', 'redire', 'rien', 'rien dire rien', 'dire rien', 'dire', 'signaler', 'redire rien', 'rien redire rien', 'rien signaler', 'bien rien', 'parfait rien', 'particulier', 'parfait rien dire']","['parfait rien à dire', ""rien n ' a dire"", 'je rien à dire']"
28,48,28_voleurs_escrocs_arnaqueurs_menteurs,"['voleurs', 'escrocs', 'arnaqueurs', 'menteurs', 'voleurs escrocs', 'escrocs voleurs', 'voleurs voleurs', 'gros voleurs', 'vrais voleurs', 'vrais', 'gros', 'arnaqueurs voleurs', 'voleurs escrocs voleurs', 'voleurs menteurs', 'incapables']","['ce sont des voleurs .', 'ce sont des voleurs .', 'ce sont des voleurs ....']"
29,47,29_avant date_avant date prévue_date_date prévue,"['avant date', 'avant date prévue', 'date', 'date prévue', 'avant', 'prévue', 'prévue commande', 'date prévue livraison', 'prévue livraison', 'date prévue arrivé', 'arrivé avant date', 'prévue arrivé', 'arrivée avant date', 'arrivé avant', 'arrivée avant']","['arrivé avant la date prévue .', 'arrivé avant la date prévue .', 'arrivé avant la date prévue .']"
30,47,30_livraison prévue_commande passée_novembre commande_novembre,"['livraison prévue', 'commande passée', 'novembre commande', 'novembre', 'passée', 'novembre commande passée', 'prévue', 'commande effectuée', 'mai', 'juillet', 'mai commande', 'juillet commande', 'juin', '19 mai', 'annoncée']","['commande passée le 7 mai , paiement encaissé de suite .', 'chouette livraison prévue le 05/12/20 .', 'commande effectuée le samedi 28/03 pour un matelas emma .']"
31,47,31_merci_aide merci_professionnalisme merci_merci service merci,"['merci', 'aide merci', 'professionnalisme merci', 'merci service merci', 'service merci', 'merci professionnalisme', 'merci service', 'entendeur', 'merci aide merci', 'merci aide', 'merci professionnalisme merci', 'professionnalisme', 'remercie', 'bonne journée', 'aide']","['. merci pour votre professionnalisme .', 'merci pour le professionnalisme !', 'merci pour votre professionnalisme']"
32,47,32_bonne qualité_qualité très_bonne_bonne qualité très,"['bonne qualité', 'qualité très', 'bonne', 'bonne qualité très', 'qualité', 'très bonne qualité', 'très bonne', 'belle', 'belle coupe', 'belle qualité', 'très belle', 'très', 'très jolie', 'coupe', 'qualité facile']","['très bon produit de très bonne qualité', 'très bonne qualité , très élégante', 'la robe est de très bonne qualité .']"
33,45,33_incompétent_incompétent service_service client_incompétent service client,"['incompétent', 'incompétent service', 'service client', 'incompétent service client', 'service', 'client', 'nul service', 'service client médiocre', 'client médiocre', 'sav', 'service client inexistant', 'client inexistant', 'client nul service', 'client inexistant service', 'client médiocre aucune']","['un service client incompétent .', 'service client médiocre et aucune réactivité .', 'service client médiocre , aucune compréhension ni empathie .']"
34,45,34_prix très_prix_bon prix_qualité prix,"['prix très', 'prix', 'bon prix', 'qualité prix', 'bonne qualité', 'produits prix', 'qualité', 'bonne qualité produits', 'intéressant', 'très bon prix', 'qualité bon', 'bonne qualité prix', 'bonne', 'rapport qualité prix', 'très']","['bonne qualité des produits à prix intéressant', 'produits de qualité à un prix très intéressant .', 'les produits sont de très bonne qualité , à un prix très attractif .']"
35,44,35_cassés_souvent_cassées_abîmés,"['cassés', 'souvent', 'cassées', 'abîmés', 'abimés', 'endommagés', 'souvent mal emballés', 'non commandés', 'souvent mal', 'souvent défectueux', 'arrivés', 'souvent endommagés', 'emballages', 'arrivés cassés', 'mal emballés']","['les meubles sont tous arrivés abimés ou cassés .', 'les colis sont souvent mal emballés et les liquides', 'malheureusement les produits sont souvent mal emballés et donc']"
36,44,36_plus tard_tard_toujours rien_tard toujours,"['plus tard', 'tard', 'toujours rien', 'tard toujours', 'plus tard toujours', 'nouvelle', 'aucune', 'aucune réponse', 'réponse', 'tard toujours rien', 'réponse part', 'aucune réponse part', 'jours plus tard', 'nouvelle mois', 'nouvelle semaine']","['30 jours ouvrés plus tard , aucune réponse de leur part .', '1 mois plus tard , toujours rien !', 'semaines plus tard toujours rien reçu .']"
37,42,37_déçue site_très déçue_déçue_très déçu,"['déçue site', 'très déçue', 'déçue', 'très déçu', 'déçue site très', 'très déçue site', 'déçu site', 'déçu', 'site très', 'très très', 'site très déçu', 'très déçu site', 'très très déçu', 'déçue service', 'très']","['très déçue par le site', 'très déçue de ce site', 'très très déçue par ce site']"
38,42,38_bonne qualité_très bonne qualité_très bonne_qualité,"['bonne qualité', 'très bonne qualité', 'très bonne', 'qualité', 'bonne', 'belle qualité', 'qualité produit', 'bonne qualité produit', 'qualité articles', 'qualité très', 'qualité produits', 'qualité très bonne', 'produits très bonne', 'bonne qualité produits', 'produits très']","['bijoux de très bonne qualité .', 'ils sont de très bonne qualité .', 'de très bonne qualité .']"
39,42,39_attentes_conforme attentes_attentes commande_attentes produit,"['attentes', 'conforme attentes', 'attentes commande', 'attentes produit', 'correspondant attentes', 'attentes très', 'commande conforme attentes', 'conforme', 'attentes très bien', 'attentes commande conforme', 'correspondant', 'attentes produits', 'attentes produit conforme', 'conformes attentes', 'commande conforme']","['commande conforme à mes attentes', 'commande conforme à mes attentes', 'conforme à mes attentes ;']"
40,42,40_réactif_efficace_client très réactif_service client lamentable,"['réactif', 'efficace', 'client très réactif', 'service client lamentable', 'client lamentable', 'top', 'client', 'service client', 'service', 'réactif efficace', 'très réactif', 'lamentable', 'ainsi service client', 'ainsi service', 'service client désastreux']","['un service client lamentable .', 'service client très réactif et agréable', 'ainsi que du service client très réactif .']"
41,41,41_parfaites_intéressants_jolies_prix intéressants prix,"['parfaites', 'intéressants', 'jolies', 'prix intéressants prix', 'attractifs prix', 'superbes', 'intéressants prix', 'belles robes', 'tailles parfaites', 'prix très intéressants', 'belles', 'très intéressants', 'prix intéressants', 'prix', 'très belles']","['des prix très intéressants !', 'les prix sont très intéressants .', ""j'adore les décors floraux exotiques dessus .""]"
42,40,42_magnifique_bien magnifique_joli_très joli,"['magnifique', 'bien magnifique', 'joli', 'très joli', 'super belle', 'très bien magnifique', 'modèle très', 'très bien', 'superbe', 'bien conforme très', 'belle trop beau', 'absolument produit', 'attendu très très', 'beau maillot très', 'article produit très']","['la bague est magnifique !', 'ç est très joli .', 'le modèle est très joli .']"
43,39,43_ras tout_tout parfait_ras_ras tout parfait,"['ras tout', 'tout parfait', 'ras', 'ras tout parfait', 'parfait', 'tout', 'tout parfait merci', 'parfait merci', 'bien tout', 'parfait ras tout', 'parfait ras', 'tout parfait ras', 'tout très', 'tout très bien', 'merci']","['ras tout est parfait', 'ras tout était parfait', 'ras tout était parfait']"
44,39,44_satisfaite produits_très satisfaite produits_satisfaite_satisfaite articles,"['satisfaite produits', 'très satisfaite produits', 'satisfaite', 'satisfaite articles', 'très satisfaite', 'très satisfaite articles', 'produits toujours satisfaite', 'produits satisfaite articles', 'satisfait produits ravie', 'produits ravie', 'satisfaite achats très', 'satisfaite produits satisfaite', 'satisfaite produits très', 'toujours satisfaite achats', 'satisfaite articles très']","['très satisfaite des produits', 'très satisfaite des produits', 'très satisfaite de mes produits']"
45,39,45_entre commande_entre commande livraison_long entre_entre,"['entre commande', 'entre commande livraison', 'long entre', 'entre', 'commande livraison', 'long entre commande', 'délai entre', 'long', 'dommage livraison', 'dommage livraison si', 'livraison si longue', 'livraison si', 'si longue', 'peu long entre', 'peu long']","['trop de délai entre la commande et la livraison', 'délai trop long entre la commande et la livraison de la marchandise', 'délai un peu long entre la commande et la livraison .']"
46,39,46_déconseille_site déconseille_déconseille fortement site_fortement site,"['déconseille', 'site déconseille', 'déconseille fortement site', 'fortement site', 'fortement site déconseille', 'déconseille fortement', 'fortement', 'recommande', 'site déconseille site', 'déconseille site', 'site déconseille fortement', 'recommande site', 'entourage recommande', 'site', 'site tout entourage']","['je vous déconseille fortement ce site !', 'je déconseille fortement ce site', 'je déconseille fortement ce site .']"
47,38,47_mauvaise qualité_qualité_mauvaise_moyenne,"['mauvaise qualité', 'qualité', 'mauvaise', 'moyenne', 'piètre qualité', 'très mauvaise qualité', 'piètre', 'qualité qualité', 'mauvaise qualité qualité', 'très mauvaise', 'qualité moyenne', 'moyenne très', 'faible qualité', 'qualité produit qualité', 'qualité tres']","['de très mauvaise qualité très décevant', 'bijoux de très mauvaise qualité', 'de très mauvaise qualité !']"
48,37,48_fuir_site fuir_fuir éviter_éviter,"['fuir', 'site fuir', 'fuir éviter', 'éviter', 'bannir', 'fuir site', 'tout prix', 'fuir éviter tout', 'fuir site fuir', 'site fuir éviter', 'tout prix vraiment', 'bannir site', 'fuir bannir', 'éviter tout prix', 'site bannir']","['a éviter , a fuir ......', 'site a fuir et bannir .', 'ce site est à fuir !']"
49,37,49_attendais_rendez_qualité rendez_attendais qualité,"['attendais', 'rendez', 'qualité rendez', 'attendais qualité', 'conforme attendais', 'espérais', 'conforme attendais qualité', 'qualité rendez qualité', 'rendez qualité', 'attendais tout', 'attendais exactement', 'qualité', 'correspond', 'correspondent', 'conforme']","[""conforme à ce que j'attendais ."", ""la qualité n'est pas au rendez-vous !"", ""la qualité n'est pas au rendez-vous ....""]"
50,36,50_peu déçue_déçue_peu_qualité peu,"['peu déçue', 'déçue', 'peu', 'qualité peu', 'déçue couleur', 'peu déçu', 'déçu qualité', 'déçu', 'peu déçue couleur', 'juste peu déçue', 'couleur peu', 'déçue qualité déçue', 'déçu qualité peu', 'déçue peu', 'qualité peu déçu']","['un peu déçue pour des bijoux de qualité ....', 'juste un peu déçue de la couleur des bottes', 'un peu déçue par la couleur']"
51,36,51_trop long_long_livraison trop long_livraison trop,"['trop long', 'long', 'livraison trop long', 'livraison trop', 'long délais livraison', 'trop long délai', 'long délai livraison', 'long délais', 'long délai', 'delai livraison', 'trop', 'delai', 'beaucoup trop long', 'livraison beaucoup trop', 'livraison beaucoup']","['délai de livraison trop long', 'délai de livraison trop long', 'le délai de livraison est trop long']"
52,35,52_temps heure_bon état_état_temps,"['temps heure', 'bon état', 'état', 'temps', 'heure', 'livré temps', 'heure colis', 'temps heure colis', 'heure colis arrivé', 'colis arrivé', 'très bon état', 'colis arrivé temps', 'commande reçue temps', 'reçue temps', 'état livraison']","['commande reçue en temps et en heure .', 'colis arrivé en temps et en heure ,', 'marchandises livrées en très bon état en temps et en heure']"
53,35,53_commandes_dernières commandes_dernières_commandes passées,"['commandes', 'dernières commandes', 'dernières', 'commandes passées', 'trois commandes', 'mauvaises surprises', 'trois', 'passées', 'commandes faites', 'surprises', 'déceptions', 'commandes cette situation', 'quatres commandes', 'commandes affiler problèmes', 'robes retournés malheureusement']","['3 commandes passées entre octobre et novembre .', 'les 3 dernières commandes passées ... une catastrophe .', 'mauvaises surprises.quatres commandes et trois mauvaises surprises']"
54,34,54_déçue très_très déçue_très déçue très_déçue,"['déçue très', 'très déçue', 'très déçue très', 'déçue', 'déçue très déçue', 'satisfaite très', 'fait satisfaite très', 'très', 'satisfaite', 'très satisfait très', 'fait satisfaite', 'tout fait satisfaite', 'très très', 'satisfait très', 'très satisfaite']","['je suis très déçue .', 'je suis très déçue .', 'je suis très déçue .']"
55,34,55_livraison temps_livraison temps livraison_temps livraison temps_temps livraison,"['livraison temps', 'livraison temps livraison', 'temps livraison temps', 'temps livraison', 'temps', 'temps livraison délais', 'reçu temps', 'parfaite temps', 'délais livraison temps', 'délais', 'temps reçu', 'livraison délais', 'livré délais', 'livraison', 'délais rapides livraison']","['livraison dans les temps !', 'livraison dans les temps .', 'livraison dans les temps .']"
56,33,56_jolis_conformes photos_bien taillés_conformes,"['jolis', 'conformes photos', 'bien taillés', 'conformes', 'photos', 'taillés', 'beaux', 'agréables porter', 'agréables', 'décevant rapport', 'bien conformes', 'jolis articles bien', 'rapport photos produits', 'jolis articles', 'rapport description']","['articles très agréables à porter et bien taillés .', 'articles conformes aux photos , bien taillés', 'jolis articles , bien taillés à prix raisonnables .']"
57,33,57_site site_comportement_tromperie_site,"['site site', 'comportement', 'tromperie', 'site', 'affaire site déplorable', 'trouve comportement discutable', 'site ringard', 'site pratiquant tromperie', 'site ringard possible', 'site site devient', 'site site ringard', 'site tombé bien', 'site gestion juste', 'site honteux', 'site honteux bref']","['bref ce site est tombé bien bas .', 'site pratiquant la tromperie et le mensonge .', 'la nouvelle présentation su site est juste catastrophique .']"
58,33,58_conforme description_conforme_description_photo conforme,"['conforme description', 'conforme', 'description', 'photo conforme', 'photo', 'conforme photo', 'article conforme description', 'article conforme', 'photo conforme description', 'photo article conforme', 'description produit', 'description produit conforme', 'photo article', 'conforme description produit', 'photo conforme photo']","['conforme à la description .', 'conforme a la description .', 'conforme à la description .']"
59,32,59_jamais_vu service aussi_jamais vu service_problèmes jamais,"['jamais', 'vu service aussi', 'jamais vu service', 'problèmes jamais', 'soucis', 'jamais moindre', 'jamais vu', 'vu service', 'service aussi', 'jamais problèmes', 'jamais soucis', 'jamais aucun', 'aucun soucis', 'jusqu présent', 'vu']","[""ancien client je n'avais jamais eu le moindre problème auparavant avec cette société ."", 'je n ’ ai jamais vu un service aussi déplorable !', ""je n'ai jamais vu un service aussi incompétent .""]"
60,32,60_écoute_réactif_client écoute service_écoute service,"['écoute', 'réactif', 'client écoute service', 'écoute service', 'top', 'service client', 'client écoute', 'service client écoute', 'client', 'service', 'compréhensif', 'réactif compréhensif', 'service client top', 'client top', 'écoute service client']","['suite à un soucis de taille le service client a été extrêmement réactif et compréhensif , je recommande vivement', 'top pull , top livraison , top sav , à l ’ écoute et réactif très rapidement', 'mais le service client a été au top , réactif et compréhensif . merci à toutes les personnes ayant traité le dossier .']"
61,32,61_comprends_trouve ça_trouve_garde quand,"['comprends', 'trouve ça', 'trouve', 'garde quand', 'trouve ça inadmissible', 'ça inadmissible', 'garde', 'tant pis', 'pis', 'trouve cela', 'inadmissible', '260 tout', 'banque sait tant', '260 tout trouve', 'alors comprends trop']","['je trouve ça complètement honteux .', 'je trouve ça inadmissible !', 'je trouve ça inadmissible !']"
62,31,62_commande satisfaite_commande satisfaite commande_satisfaite commande_satisfaite,"['commande satisfaite', 'commande satisfaite commande', 'satisfaite commande', 'satisfaite', 'satisfaite commande satisfait', 'commande satisfait commande', 'commande satisfait', 'commande déçu', 'satisfaite commande satisfaite', 'commande tres', 'satisfait commande', 'entièrement satisfaite', 'déçu commande', 'satisfait', 'globalement']","['satisfaite de ma commande', 'satisfaite de la commande', 'satisfaite de ma commande']"
63,30,63_satisfaite livraison_livraison produit parfait_bien passé_comme habitude livraison,"['satisfaite livraison', 'livraison produit parfait', 'bien passé', 'comme habitude livraison', 'commande livraison produit', 'habitude livraison', 'rapide habitude', 'rapidité envoi', 'habitude', 'temps indiqués', 'produit parfait', 'indiqués', 'envoi', 'ravie commande', 'commande livraison']","[""comme d'habitude la livraison s'est faite dans les temps ."", ""toujours très satisfaite , livraison à la date prévue comme d'habitude ."", ""livraison plus rapide que d'habitude et l'article commandé conforme .""]"
