Topic,Count,Name,Representation,Representative_Docs
72,360,72_très_qualité_peu_trop,"['très', 'qualité', 'peu', 'trop', 'photo', 'livraison', 'produit', 'déçue', 'bien', 'taille', 'prix', 'long', 'produits', 'couleur', 'grand']",
73,666,73_plus_vente_commande_colis,"['plus', 'vente', 'commande', 'colis', 'donc', 'site', 'service', 'remboursement', 'après', 'faire', 'mail', 'mois', 'privée', 'vente privée', 'être']",
74,57,74_bien passé_déroulé_tout très bien_tout très,"['bien passé', 'déroulé', 'tout très bien', 'tout très', 'tout bien', 'bien déroulé', 'tout', 'bien', 'passé', 'très bien', 'très bien passé', 'très', 'tout bien déroulé', 'tout bien passé', 'rien dire tout']",
75,193,75_ras_ras tout_article_carton,"['ras', 'ras tout', 'article', 'carton', 'cassé', 'tout', 'parfait', 'ras tout parfait', 'satisfaite', 'arrivé', 'abîmé', 'manque article', 'arrivé cassé', 'articles arrivé', 'manque']",
76,281,76_conforme_description_qualité_produits,"['conforme', 'description', 'qualité', 'produits', 'livraison', 'rapide', 'très', 'conformes', 'conforme description', 'bonne', 'bonne qualité', 'livraison rapide', 'délais', 'produit', 'parfait']",
77,96,77_satisfaite_contente_satisfaite commande_commande très,"['satisfaite', 'contente', 'satisfaite commande', 'commande très', 'très contente', 'contente commande', 'commande', 'commande satisfaite', 'commande très contente', 'très satisfaite', 'satisfaite commande très', 'très contente commande', 'très', 'très satisfaite commande', 'commande très satisfaite']",
78,1061,78_commande_plus_colis_site,"['commande', 'plus', 'colis', 'site', 'service', 'remboursement', 'client', 'toujours', 'mois', 'vente', 'service client', 'fois', 'depuis', 'fait', 'rien']",
79,130,79_merci_très_contente_très bien,"['merci', 'très', 'contente', 'très bien', 'parfait', 'super', 'satisfaite', 'merci très', 'très contente', 'bien', 'tout parfait', 'tout', 'bien merci', 'comme toujours', 'toujours']",
80,408,80_carton_colis_très_livraison,"['carton', 'colis', 'très', 'livraison', 'produit', 'ouvert', 'produits', 'plus', 'bien', 'abîmé', 'prix', 'qualité', 'commande', 'car', 'site']",
81,153,81_merci_ravie_très_contente,"['merci', 'ravie', 'très', 'contente', 'bien', 'tout', 'adoré', 'très bien', 'recommande', 'satisfait', 'adore', 'beaucoup', 'achat', 'showroomprive', 'reçu']",
82,109,82_adore_très_merci_satisfaite,"['adore', 'très', 'merci', 'satisfaite', 'attendais', 'aime', 'qualité', 'très contente', 'rien redire', 'redire', 'beaucoup', 'adoré', 'rien', 'ravie', 'très satisfaite']",
83,153,83_taille_trop_petit_jolie,"['taille', 'trop', 'petit', 'jolie', 'peu', 'très', 'couleur', 'trop petit', 'petite', 'grand', 'dommage', 'photo', '38', 'trop grand', 'qualité']",
84,145,84_reçu_reçu commande_toujours reçu_toujours reçu commande,"['reçu', 'reçu commande', 'toujours reçu', 'toujours reçu commande', 'reçu colis', 'commande', 'toujours', 'colis', 'reçu commande reçu', 'commande reçu', 'recu', 'reçu commandé', 'encore reçu', 'reçu colis reçu', 'encore reçu commande']",
85,6,85_12_06_documents_12 17,"['12', '06', 'documents', '12 17', '12 2017', 'retour', 'or', '2017', 'bon retour', 'vepee', 'article', 'lors', 'documents retour', 'envoyé', 'appelé']",
86,296,86_livraison_satisfaite_très_conforme,"['livraison', 'satisfaite', 'très', 'conforme', 'rapide', 'bien', 'qualité', 'commande', 'produit', 'produits', 'délai', 'merci', 'avant date', 'date', 'délais']",
87,376,87_commande_plus_colis_client,"['commande', 'plus', 'colis', 'client', 'service', 'si', 'reçu', 'fois', 'service client', 'car', 'remboursement', 'chez', 'fait', 'toujours', 'après']",
88,512,88_commande_plus_service_client,"['commande', 'plus', 'service', 'client', 'site', 'colis', 'rien', 'après', 'vente', 'toujours', 'remboursement', 'faire', 'service client', 'reçu', 'chez']",
89,168,89_qualité_bonne qualité_bonne_qualité très,"['qualité', 'bonne qualité', 'bonne', 'qualité très', 'très', 'très bonne qualité', 'très bonne', 'produit', 'bonne qualité très', 'prix', 'très bon', 'belle', 'produits', 'bon', 'bon produit']",
90,290,90_taille_trop_marque_très,"['taille', 'trop', 'marque', 'très', 'qualité', 'nul', 'article', 'peu', 'bien', 'plus', 'articles', 'boîtes', 'prix', 'couleur', 'petit']",
91,569,91_commande_service_plus_colis,"['commande', 'service', 'plus', 'colis', 'client', 'service client', 'remboursement', 'fois', 'car', 'site', 'après', 'jamais', 'donc', 'mois', 'retour']",
92,277,92_qualité_très_produits_satisfaite,"['qualité', 'très', 'produits', 'satisfaite', 'produit', 'articles', 'super', 'taille', 'top', 'parfait', 'très satisfaite', 'bien', 'contente', 'attentes', 'excellent']",
93,378,93_livraison_rapide_description_très,"['livraison', 'rapide', 'description', 'très', 'conforme', 'qualité', 'conformes', 'livraison rapide', 'produit', 'bonne qualité', 'attentes', 'bonne', 'conformes description', 'parfait', 'produits']",
94,301,94_colis_livraison_arrivé_commande,"['colis', 'livraison', 'arrivé', 'commande', 'carton', 'très', 'reçu', 'non', 'ouvert', 'produit', 'déçu', 'malgré', 'article', 'service', 'client']",
95,318,95_taille_très_reçu_commandé,"['taille', 'très', 'reçu', 'commandé', 'trop', 'dommage', 'peu', 'déçue', 'satisfaite', 'bien', 'livraison', 'déçu', 'articles', 'commande', 'produit']",
96,257,96_merci_trop_articles_adore,"['merci', 'trop', 'articles', 'adore', 'bien', 'aime', 'produits', 'tout', 'très', 'taille', 'marque', 'satisfait', 'parfait', 'reçu', 'prochaine']",
97,406,97_livraison_commande_très_merci,"['livraison', 'commande', 'très', 'merci', 'bien', 'produit', 'produits', 'date', 'trop', 'reçu', 'satisfaite', 'longue', 'qualité', 'déçue', 'contente']",
98,248,98_très_satisfaite_très satisfaite_merci,"['très', 'satisfaite', 'très satisfaite', 'merci', 'qualité', 'rapide', 'recommande', 'bonne', 'contente', 'ravie', 'très contente', 'très bien', 'très bon', 'très bonne', 'produit']",
99,175,99_livraison_rapide_temps_date,"['livraison', 'rapide', 'temps', 'date', 'avance', 'commande', 'prévu', 'arrivée', 'arrivé', 'délai', 'retard', 'colis', 'prévue', 'commande reçue', 'livré']",
100,219,100_rapide_conforme_livraison rapide_conformes,"['rapide', 'conforme', 'livraison rapide', 'conformes', 'produit', 'qualité', 'livraison', 'produits', 'description', 'bonne qualité', 'très', 'produit conforme', 'bonne', 'photo', 'articles conformes']",
101,235,101_livraison_long_trop_rapide,"['livraison', 'long', 'trop', 'rapide', 'produit', 'livraison trop', 'longue', 'livraison rapide', 'délai', 'trop long', 'commande', 'super', 'top', 'retard', 'bien']",
102,587,102_site_plus_commande_colis,"['site', 'plus', 'commande', 'colis', 'service', 'vente', 'prix', 'livraison', 'mois', 'car', 'client', 'fois', 'jamais', 'frais', 'commandes']",
103,219,103_satisfaite_commande_contente_très,"['satisfaite', 'commande', 'contente', 'très', 'très satisfaite', 'date', 'rapide', 'avant date', 'ravie', 'conforme', 'satisfaite commande', 'livraison', 'merci', 'très contente', 'contente commande']",
104,319,104_qualité_très_peu_produit,"['qualité', 'très', 'peu', 'produit', 'bonne qualité', 'bonne', 'livraison', 'belle', 'rapide', 'prix', 'longue', 'bien', 'trop', 'déçue', 'bon']",
